id,well,volC,volM,volY,volK
0,A1,0,200,0,0
1,A2,0,0,200,0
2,A3,200,0,0,0
3,A4,0,200,0,0
4,A5,0,0,200,0
5,A6,200,0,0,0
6,A7,0,200,0,0
7,A8,0,0,200,0
8,A9,200,0,0,0
9,A10,0,200,0,0
10,A11,0,0,200,0
11,A12,0,0,0,200
12,B1,0,200,0,0
13,B2,0,0,200,0
14,B3,0,0,0,200
15,B4,0,200,0,0
16,B5,0,0,200,0
17,B6,200,0,0,0
18,B7,0,200,0,0
19,B8,0,0,200,0
20,B9,200,0,0,0
21,B10,0,200,0,0
22,B11,0,0,200,0
23,B12,200,0,0,0
24,C1,0,200,0,0
25,C2,0,0,200,0
26,C3,200,0,0,0
27,C4,0,200,0,0
28,C5,0,0,200,0
29,C6,0,0,0,200
30,C7,0,200,0,0
31,C8,0,0,200,0
32,C9,200,0,0,0
33,C10,0,200,0,0
34,C11,0,0,200,0
35,C12,200,0,0,0
36,D1,0,200,0,0
37,D2,0,0,200,0
38,D3,200,0,0,0
39,D4,0,200,0,0
40,D5,0,0,200,0
41,D6,200,0,0,0
42,D7,0,200,0,0
43,D8,0,0,200,0
44,D9,0,0,0,200
45,D10,0,200,0,0
46,D11,0,0,200,0
47,D12,200,0,0,0
48,E1,0,200,0,0
49,E2,0,0,200,0
50,E3,200,0,0,0
51,E4,0,200,0,0
52,E5,0,0,200,0
53,E6,200,0,0,0
54,E7,0,200,0,0
55,E8,0,0,200,0
56,E9,200,0,0,0
57,E10,0,200,0,0
58,E11,0,0,200,0
59,E12,0,0,0,200
60,F1,0,200,0,0
61,F2,0,0,200,0
62,F3,0,0,0,200
63,F4,0,200,0,0
64,F5,0,0,200,0
65,F6,200,0,0,0
66,F7,0,200,0,0
67,F8,0,0,200,0
68,F9,200,0,0,0
69,F10,0,200,0,0
70,F11,0,0,200,0
71,F12,200,0,0,0
72,G1,0,200,0,0
73,G2,0,0,200,0
74,G3,200,0,0,0
75,G4,0,200,0,0
76,G5,0,0,200,0
77,G6,0,0,0,200
78,G7,0,200,0,0
79,G8,0,0,200,0
80,G9,200,0,0,0
81,G10,0,200,0,0
82,G11,0,0,200,0
83,G12,200,0,0,0
84,H1,0,200,0,0
85,H2,0,0,200,0
86,H3,200,0,0,0
87,H4,0,200,0,0
88,H5,0,0,200,0
89,H6,200,0,0,0
90,H7,0,200,0,0
91,H8,0,0,200,0
92,H9,0,0,0,200
93,H10,0,200,0,0
94,H11,0,0,200,0
95,H12,200,0,0,0
